idenccc,ordentra,nuts1,cnace,estrato2,control,mercado,regulacion,sexo,tipopais,cno1,responsa,estu,anoanti,mesanti,tipojor,tipocon,fijodism,fijodisd,val,van,puentes,jap,jsp1,jsp2,hextra,drelabm,siespm1,dsiespm1,siespm2,dsiespm2,salbase,extraorm,phextra,comsal,comsaltt,irpfmes,cotiza,base,drelabam,drelabad,siespa1,dsiespa1,siespa2,dsiespa2,siespa3,dsiespa3,siespa4,dsiespa4,retrinoin,retriin,gextra,vespnoin,vespin,anos2,factotal,diasmes,diasrelaba,diasano,salmes,salmor,salneto,salanual,salaor,jmp1,salhora,treatment,outcome
00000584,18,1,Q0,3,2,1,3,6,1,B0,1,6,17,0,1,1,0,0,0,30,0,1683,38,0,0,31,6,0,6,0,2036.83,0,0,536.1,356.62,389.54,184.93,2912.41,12,0,1,68,6,0,6,0,6,0,29333.54,3617.45,4062.34,0,0,05,30.31,31,365,365,2572.93,2572.93,1998.46,32950.99,28888.65,165.3,15.5652147610405,0,1998.46
00000584,19,1,Q0,3,2,1,3,6,2,B0,0,6,4,0,1,1,0,0,0,30,0,1683,38,0,0,31,6,0,6,0,2036.83,0,0,758.11,572.44,525.73,199.03,3134.42,12,0,1,29,6,0,6,0,6,0,37555.86,1729.91,4073.66,0,0,03,30.31,31,365,365,2794.94,2794.94,2070.18,39285.77,35212.11,165.3,16.9082879612825,0,2070.18
00000584,22,1,Q0,3,2,1,3,6,1,B0,0,6,13,0,1,1,0,0,0,30,0,1683,38,0,0,31,1,12,6,0,2561.16,0,0,0,0,461.01,126.71,1995.37,12,0,6,0,1,17,6,0,6,0,29302.45,0,0,0,0,03,30.31,31,365,348,2561.16,2561.16,1973.44,30733.8915229885,30733.8915229885,165.3,15.4940108892922,0,1973.44
00000699,01,1,Q0,2,1,1,5,6,1,B0,0,6,10,9,1,2,0,0,0,30,6,1533,35,0,0,31,6,0,6,0,1071.06,0,0,2412.85,0,825.4,237.87,3746.03,12,0,6,0,6,0,6,0,6,0,45589.67,0,2490.25,0,0,05,12.31,31,365,365,3483.91,3483.91,2420.64,45589.67,43099.42,152.25,22.8828243021347,1,2420.64
00000699,05,1,Q0,2,1,1,5,6,1,B0,0,6,2,11,1,2,0,0,0,30,6,1533,35,0,0,31,6,0,6,0,1238.68,0,0,2483.52,0,790.86,247.29,3894.34,12,0,6,0,6,0,6,0,6,0,46662.63,0,4709.26,0,0,05,12.31,31,365,365,3722.2,3722.2,2684.05,46662.63,41953.37,152.25,24.447947454844,1,2684.05
00000699,08,1,Q0,2,1,1,5,6,1,B0,0,6,30,3,1,2,0,0,0,30,6,1533,35,0,0,31,6,0,6,0,642.64,0,0,1017.92,0,207.66,116.28,1831.32,12,0,6,0,6,0,6,0,6,0,21975.07,0,1926.65,0,0,06,12.31,31,365,365,1660.56,1660.56,1336.62,21975.07,20048.42,152.25,10.9067980295567,1,1336.62
00000699,12,1,Q0,2,1,1,5,6,1,B0,0,6,1,8,1,2,0,0,0,30,6,1533,35,0,0,31,6,0,6,0,856.85,0,0,1017.5,0,47.23,129.33,2036.8,6,0,6,0,6,0,6,0,6,0,8910.19,0,614.77,0,0,03,12.31,31,182.52,182.52,1874.35,1874.35,1697.79,17818.4272956388,16589.0220249836,152.25,12.3110016420361,1,1697.79
00000699,13,1,Q0,2,1,1,5,6,1,B0,0,6,24,9,1,2,0,0,0,30,6,1533,35,0,0,31,6,0,6,0,1071.06,0,0,2134.29,0,641.57,225.24,3547.1,12,0,6,0,6,0,6,0,6,0,41602.71,0,3125.21,0,0,05,12.31,31,365,365,3205.35,3205.35,2338.54,41602.71,38477.5,152.25,21.0532019704434,1,2338.54
00000699,14,1,Q0,2,1,1,5,6,1,B0,0,6,17,1,1,2,0,0,0,30,6,1533,35,0,0,31,6,0,6,0,1071.06,0,0,2337.33,0,439.54,218.99,3448.73,9,0,6,0,6,0,6,0,6,0,29203.5,0,1737.42,0,0,04,12.31,31,273.78,273.78,3408.39,3408.39,2749.86,38933.7332895025,36617.4271312733,152.25,22.3867980295567,1,2749.86
00000699,16,1,Q0,2,1,1,5,1,1,B0,0,6,12,1,1,2,0,0,0,30,6,1533,35,0,0,31,6,0,6,0,1071.06,0,0,2189.49,0,791.64,220.29,3469.17,12,0,6,0,6,0,6,0,6,0,45261.66,0,2075.15,0,0,05,12.31,31,365,365,3260.55,3260.55,2248.62,45261.66,43186.51,152.25,21.415763546798,1,2248.62
00001273,04,1,Q0,3,1,1,5,6,1,B0,0,6,3,5,1,2,0,0,0,30,6,1533,35,0,0,31,6,0,6,0,484.26,0,0,1307.49,0,136.84,101.97,1605.64,9,14,6,0,6,0,6,0,6,0,18464.17,0,1174.67,0,0,03,22.18,31,287.78,287.78,1791.75,1791.75,1552.94,23418.6602613107,21928.7910904163,152.25,11.7684729064039,1,1552.94
00001273,06,1,Q0,3,1,1,5,1,1,B0,0,6,2,6,1,2,0,0,0,30,6,1533,35,0,0,31,6,0,6,0,1071.06,0,0,1226.32,0,265.16,161.57,2524.6,12,0,6,0,6,0,6,0,6,0,39181.84,0,2725.44,0,0,02,22.18,31,365,365,2297.38,2297.38,1870.65,39181.84,36456.4,152.25,15.0895238095238,1,1870.65
00001273,07,1,Q0,3,1,1,5,1,1,B0,0,6,6,5,1,2,0,0,0,30,6,1533,35,0,0,31,6,0,6,0,1071.06,0,0,1627.6,342.43,564.78,205.9,3242.57,12,0,6,0,6,0,6,0,6,0,39832.9,0,3319.98,0,0,05,22.18,31,365,365,2698.66,2698.66,1927.98,39832.9,36512.92,152.25,17.7251888341544,1,1927.98
00001273,08,1,Q0,3,1,1,5,6,1,B0,0,6,5,4,1,2,0,0,0,30,6,1533,35,0,0,31,6,0,6,0,1071.06,0,0,1344.34,0,295.11,168.36,2630.74,12,0,6,0,6,0,6,0,6,0,41248.42,0,2725.44,0,0,03,22.18,31,365,365,2415.4,2415.4,1951.93,41248.42,38522.98,152.25,15.8646962233169,1,1951.93
00001273,16,1,Q0,3,1,1,5,6,1,B0,0,6,2,0,2,2,0,0,0,30,6,1533,35,0,0,31,6,0,6,0,496.81,0,0,612.37,0,54.09,74.82,1172.24,12,0,6,0,6,0,6,0,6,0,17252.16,0,620.31,0,0,04,22.18,31,365,365,1109.18,1109.18,980.27,17252.16,16631.85,152.25,7.28525451559934,1,980.27
00001638,03,1,Q0,3,1,1,5,6,1,B0,0,6,22,0,1,2,0,0,22,0,0,1512,35,0,0,31,6,0,6,0,1071.06,0,0,1661.93,143.91,557.94,206.07,3245.11,12,0,1,7,6,0,6,0,6,0,39889.27,521.16,3515.57,0,0,05,359.48,31,365,365,2732.99,2732.99,1968.98,40410.43,36894.86,152.25,17.9506732348112,1,1968.98
00001638,06,1,Q0,3,1,1,5,6,1,B0,0,6,11,0,1,2,0,0,22,0,0,1400,35,0,0,31,6,0,6,0,1071.06,0,0,2069.55,371.58,533.61,199.43,3140.61,12,0,1,17,6,0,6,0,6,0,37928.85,1389.44,4245.81,0,0,03,359.48,31,365,365,3140.61,3140.61,2407.57,39318.29,35072.48,152.25,20.6279802955665,1,2407.57
00001638,09,1,Q0,3,1,1,5,6,1,B0,0,6,27,0,1,2,0,0,22,0,0,1512,37,0,0,31,6,0,6,0,1071.06,0,0,1553.9,0,482.99,190.14,2994.5,12,0,6,0,6,0,6,0,6,0,36462.16,0,4300.1,0,0,06,359.48,31,365,365,2624.96,2624.96,1951.83,36462.16,32162.06,160.95,16.3091643367505,1,1951.83
00001638,20,1,Q0,3,1,1,5,6,1,B0,0,6,29,0,1,2,0,0,22,0,0,1512,35,0,0,31,6,0,6,0,1071.06,0,0,2102.96,404.45,658.61,227.54,3583.42,12,0,6,0,6,0,6,0,6,0,42851.78,0,0,0,0,06,359.48,31,365,365,3174.02,3174.02,2287.87,42851.78,42851.78,152.25,20.8474220032841,1,2287.87
00001638,23,1,Q0,3,1,1,5,6,1,B0,0,6,33,0,1,2,0,0,22,0,0,1512,35,0,0,31,6,0,6,0,1071.06,0,0,1592.21,0,494.04,193.01,3039.53,12,0,1,8,6,0,6,0,6,0,36470.54,539.77,4548.18,0,0,05,359.48,31,365,365,2663.27,2663.27,1976.22,37010.31,32462.13,152.25,17.4927422003284,1,1976.22
00001913,01,1,Q0,1,2,2,1,6,1,C0,0,6,6,5,1,1,0,0,23,0,0,1750,38,50,0,31,1,31,6,0,1044.55,0,0,0,0,130.67,115.08,1812.29,12,0,1,124,1,175,6,0,6,0,2468.06,5475.41,1418.63,0,0,02,5.43,31,365,190,1044.55,1044.55,798.8,15259.8239473684,12534.5610526316,168.925,6.18351339351783,0,798.8
00001913,02,1,Q0,1,2,2,1,6,1,C0,0,6,1,7,1,2,0,0,23,0,0,1750,38,50,0,31,6,0,6,0,1311.63,0,0,313.46,123.9,32.5,119.53,1867.61,5,16,6,0,6,0,6,0,6,0,9643.52,0,1207.08,0,0,03,5.43,31,168.1,168.1,1625.09,1625.09,1473.06,20939.2314098751,18318.2665080309,168.925,9.62018647328696,0,1473.06
00001913,03,1,Q0,1,2,2,1,6,1,A0,1,6,17,5,1,1,0,0,23,0,0,1750,38,50,0,31,6,0,6,0,1425.42,0,0,975.35,52.5,449.24,182.26,1840.61,12,0,6,0,1,211,6,0,6,0,10701.3,0,776.5,0,0,04,5.43,31,365,154,2400.77,2400.77,1769.27,25363.4707792208,23523.0649350649,168.925,14.2120467663164,0,1769.27
00001913,04,1,Q0,1,2,2,1,6,1,C0,1,6,6,5,1,1,0,0,23,0,0,1750,38,50,0,31,6,0,6,0,1311.63,0,0,283.74,123.9,203.09,115.6,1840.61,12,0,1,4,6,0,6,0,6,0,21800.92,180.64,2942.94,0,0,03,5.43,31,365,365,1595.37,1595.37,1276.68,21981.56,19038.62,168.925,9.44425040698535,0,1276.68
00001987,22,1,Q0,3,2,1,2,1,1,B0,0,6,1,1,2,1,0,0,0,30,0,879,20,0,0,31,6,0,6,0,791.65,0,0,0.87,0,95.1,37.25,792.52,12,0,6,0,6,0,6,0,6,0,8565,0,0,0,0,03,25.54,31,365,365,792.52,792.52,660.17,8565,8565,87,9.10942528735632,0,660.17
00002059,03,1,Q0,3,1,1,1,6,1,B0,0,6,23,0,1,2,0,0,0,30,6,1548,35,0,0,31,6,0,6,0,1071.06,0,0,1518.2,0,314.46,182.41,2872.5,12,0,1,16,6,0,6,0,6,0,34746.32,487.62,2952.71,0,0,05,70.64,31,365,365,2589.26,2589.26,2092.39,35233.94,32281.23,152.25,17.0066338259442,1,2092.39
00002059,04,1,Q0,3,1,1,1,6,1,B0,0,6,6,0,1,2,0,0,0,30,6,1548,35,0,0,31,6,0,6,0,1071.06,0,0,2641.59,289.38,969.91,262.85,4139.4,12,0,6,0,6,0,6,0,6,0,55796.63,0,2462.96,0,0,04,70.64,31,365,365,3712.65,3712.65,2479.89,55796.63,53333.67,152.25,24.3852216748769,1,2479.89
00002059,05,1,Q0,3,1,1,1,6,1,B0,0,6,6,0,1,2,0,0,0,30,6,1548,35,0,0,31,6,0,6,0,1071.06,0,0,1405.22,209.91,483.51,186.46,2936.33,12,0,1,17,6,0,6,0,6,0,25151.03,1835.56,1598.67,0,0,04,70.64,31,365,365,2476.28,2476.28,1806.31,26986.59,25387.92,152.25,16.2645648604269,1,1806.31
00002059,06,1,Q0,3,1,1,1,6,1,B0,0,6,7,0,1,2,0,0,0,30,6,1548,35,0,0,31,6,0,6,0,1071.06,0,0,1404.53,0,419.86,175.02,2756.15,12,0,1,214,6,0,6,0,6,0,33560,11044.73,2794.17,0,0,05,70.64,31,365,365,2475.59,2475.59,1880.71,44604.73,41810.56,152.25,16.2600328407225,1,1880.71
00002059,08,1,Q0,3,1,1,1,6,1,B0,0,6,2,0,1,2,0,0,0,30,6,1548,35,0,0,31,6,0,6,0,1071.06,0,0,1320.27,209.91,468.23,181.36,2856.11,12,0,6,0,6,0,6,0,6,0,34160.03,0,2519.88,0,0,03,70.64,31,365,365,2391.33,2391.33,1741.74,34160.03,31640.15,152.25,15.7066009852217,1,1741.74
00002059,09,1,Q0,3,1,1,1,6,1,B0,0,6,4,0,1,2,0,0,0,30,6,1548,35,0,0,31,1,31,6,0,3965.03,0,0,0,0,711.25,186.9,2943.37,12,0,1,365,6,0,6,0,6,0,34742.2,15353.27,2515.12,0,0,03,70.64,31,365,365,3965.03,3965.03,3066.88,50095.47,47580.35,152.25,26.0428899835796,1,3066.88
00002059,11,1,Q0,3,1,1,1,6,1,B0,0,6,7,10,1,2,0,0,0,30,6,1548,35,0,0,31,6,0,6,0,1071.06,0,0,1594.02,0,491.17,190.79,3004.59,12,0,1,48,6,0,6,0,6,0,36585.12,4787.31,3325.7,0,0,06,70.64,31,365,365,2665.08,2665.08,1983.12,41372.43,38046.73,152.25,17.5046305418719,1,1983.12
00002059,13,1,Q0,3,1,1,1,1,1,B0,0,6,8,0,1,2,0,0,0,30,6,1548,35,0,0,31,6,0,6,0,1071.06,0,0,2605.81,197.76,951.03,262.83,4138.96,12,0,1,6,6,0,6,0,6,0,49012.95,413.94,1927.12,0,0,03,70.64,31,365,365,3676.87,3676.87,2463.01,49426.89,47499.77,152.25,24.1502134646962,1,2463.01
00002059,15,1,Q0,3,1,1,1,6,1,B0,0,6,16,0,1,2,0,0,0,30,6,1548,35,0,0,31,1,31,6,0,2746.25,0,0,0,0,479.97,171.4,2699.18,12,0,1,68,6,0,6,0,6,0,32866.29,2803.71,2714.95,0,0,05,70.64,31,365,365,2746.25,2746.25,2094.88,35670,32955.05,152.25,18.0377668308703,1,2094.88
00002059,19,1,Q0,3,1,1,1,6,1,B0,0,6,1,10,1,2,0,0,0,30,6,1548,35,0,0,31,6,0,6,0,1071.06,0,0,1197.94,198.54,438.05,172.57,2717.68,12,0,1,6,6,0,6,0,6,0,33605.89,287.29,2467.22,0,0,02,70.64,31,365,365,2269,2269,1658.38,33893.18,31425.96,152.25,14.9031198686371,1,1658.38
00002059,23,1,Q0,3,1,1,1,6,1,B0,0,6,8,0,1,2,0,0,0,30,6,1548,35,0,0,31,6,0,6,0,1071.06,0,0,1612.4,77.55,529.05,192.4,3030.05,12,0,1,13,6,0,6,0,6,0,48446.57,487.59,2610.92,0,0,03,70.64,31,365,365,2683.46,2683.46,1962.01,48934.16,46323.24,152.25,17.6253530377668,1,1962.01
00002059,24,1,Q0,3,1,1,1,6,1,B0,0,6,4,10,1,2,0,0,0,30,6,1548,35,0,0,31,6,0,6,0,1071.06,0,0,1479.01,198.54,508.96,191.02,3008.2,12,0,1,6,6,0,6,0,6,0,36459.62,0,2535.56,0,0,03,70.64,31,365,365,2550.07,2550.07,1850.09,36459.62,33924.06,152.25,16.7492282430213,1,1850.09
00002059,25,1,Q0,3,1,1,1,6,1,B0,0,6,1,10,1,2,0,0,0,30,6,1548,35,0,0,31,6,0,6,0,803.3,0,0,1480.95,209.91,448.95,174.43,2746.95,12,0,1,7,6,0,1,272,6,0,28857.31,342.91,1752.49,0,0,03,70.64,31,365,365,2284.25,2284.25,1660.87,29200.22,27447.73,152.25,15.0032840722496,1,1660.87
00002278,02,1,Q0,3,1,1,5,6,1,B0,0,6,25,3,1,1,0,0,22,0,0,1645,37,5,0,31,6,0,6,0,714.04,0,0,1310.63,39.52,248.73,101.95,2169.11,12,0,6,0,6,0,1,365,6,0,27880.68,0,0,0,0,04,111.88,31,365,365,2024.67,2024.67,1673.99,27880.68,27880.68,161.3125,12.5512282061217,1,1673.99
00002278,04,1,Q0,3,1,1,5,6,1,B0,0,6,33,5,1,1,0,0,22,0,0,1645,37,30,0,31,6,0,6,0,1071.06,0,0,4090.89,283.56,1584.22,194.55,4139.4,12,0,6,0,6,0,6,0,6,0,70681.35,0,0,0,0,05,111.88,31,365,365,5161.95,5161.95,3383.18,70681.35,70681.35,163.125,31.6441379310345,1,3383.18
00002278,05,1,Q0,3,1,1,5,6,1,B0,0,6,20,9,1,1,0,0,22,0,0,1645,37,30,0,31,6,0,6,0,999.66,0,0,1735.89,0,546.29,143.94,3062.55,12,0,1,17,6,0,6,0,6,0,34787.67,2869.56,0,0,0,04,111.88,31,365,365,2735.55,2735.55,2045.32,37657.23,37657.23,163.125,16.7696551724138,1,2045.32
00002278,09,1,Q0,3,1,1,5,6,1,B0,0,6,28,4,1,1,0,0,22,0,0,1645,37,30,0,31,6,0,6,0,714.04,0,0,1394.38,152.88,371.5,109.79,3399.81,12,0,1,30,6,0,6,0,6,0,29653.91,2318.19,0,0,0,05,111.88,31,365,365,2108.42,2108.42,1627.13,31972.1,31972.1,163.125,12.9251800766284,1,1627.13
00002278,11,1,Q0,3,1,1,5,1,1,C0,0,6,14,0,1,1,0,0,22,0,0,1680,37,30,0,31,6,0,6,0,1238.68,0,0,2541.76,0,699.71,177.68,3780.44,12,0,6,0,6,0,6,0,6,0,48422.43,0,2394.43,0,0,05,111.88,31,365,365,3780.44,3780.44,2903.05,48422.43,46028,163.125,23.1751111111111,1,2903.05
00002278,12,1,Q0,3,1,1,5,1,1,B0,0,6,21,4,1,1,0,0,22,0,0,1645,37,30,0,31,6,0,6,0,1071.06,0,0,2625.47,604,789.21,189.33,4028.27,12,0,1,9,6,0,6,0,6,0,43169.95,1466.87,0,0,0,04,111.88,31,365,365,3696.53,3696.53,2717.99,44636.82,44636.82,163.125,22.6607203065134,1,2717.99
00002278,15,1,Q0,3,1,1,5,6,1,B0,0,6,27,4,1,1,0,0,22,0,0,1645,37,30,0,31,6,0,6,0,1071.06,0,0,3711.29,382.4,1155.35,192.34,4092.41,12,0,1,26,6,0,6,0,6,0,48043.63,2464.05,0,0,0,06,111.88,31,365,365,4782.35,4782.35,3434.66,50507.68,50507.68,163.125,29.3170881226054,1,3434.66
00002278,19,1,Q0,3,1,1,5,6,1,B0,0,6,27,9,1,1,0,0,22,0,0,1645,37,30,0,31,6,0,6,0,1238.68,0,0,2887.32,210.52,882.23,194.55,4139.4,12,0,6,0,6,0,6,0,6,0,52032.92,0,0,0,0,06,111.88,31,365,365,4126,4126,3049.22,52032.92,52032.92,163.125,25.2934865900383,1,3049.22
00002278,22,1,Q0,3,1,1,5,6,1,B0,0,6,34,9,1,1,0,0,22,0,0,1645,37,30,0,31,6,0,6,0,1071.06,0,0,2041.89,69.79,639.39,162.26,3452.26,12,0,1,15,6,0,6,0,6,0,40893.92,1209.32,0,0,0,06,111.88,31,365,365,3112.95,3112.95,2311.3,42103.24,42103.24,163.125,19.0832183908046,1,2311.3
00003055,01,1,Q0,1,2,1,2,6,1,B0,0,6,1,4,2,1,0,0,0,30,0,1784,35,0,0,31,6,0,6,0,1093.76,0,0,0,0,48.13,71.6,1139.6,11,20,6,0,6,0,6,0,6,0,13188.88,0,0,0,0,02,34.25,31,354.62,354.62,1093.76,1093.76,974.03,13574.9286560262,13574.9286560262,152.25,7.183973727422,0,974.03
00003055,02,1,Q0,1,2,1,2,6,1,B0,0,6,0,1,2,1,0,0,5,0,0,1784,30,0,0,31,6,0,6,0,875.03,0,0,0,0,17.5,60.35,976.8,3,0,6,0,6,0,6,0,6,0,2389.06,0,0,0,0,02,34.25,31,91.26,91.26,875.03,875.03,797.18,9555.19285557747,9555.19285557747,130.5,6.70521072796935,0,797.18
00003097,17,1,Q0,3,2,2,3,6,1,B0,0,6,36,1,2,2,0,0,24,0,0,414,9,0,0,31,6,0,6,0,659.32,0,0,468.57,0,111.59,71.62,3932.43,12,0,6,0,6,0,6,0,6,0,14834.72,0,1300,0,0,06,24.76,31,365,365,1127.89,1127.89,944.68,14834.72,13534.72,39.15,28.8094508301405,0,944.68
00003358,01,1,Q0,3,1,1,5,6,1,B0,0,6,1,7,1,2,0,0,0,30,6,1645,37,30,0,31,6,0,6,0,1086.81,0,0,2779.88,1301.82,1156.91,262.85,4139.4,12,0,1,11,6,0,6,0,6,0,55833,1017.53,2864.02,0,0,04,37.04,31,365,365,3866.69,3866.69,2446.93,56850.53,53986.51,163.125,23.703846743295,1,2446.93
00003358,06,1,Q0,3,1,1,5,6,1,B0,0,6,1,4,1,2,0,0,0,30,6,1645,37,30,0,31,6,0,6,0,1086.68,0,0,1843.55,783.84,631.46,205.17,3231.11,12,0,1,8,6,0,6,0,6,0,37482.82,664.55,1191.11,0,0,04,37.04,31,365,365,2930.23,2930.23,2093.6,38147.37,36956.26,163.125,17.9630957854406,1,2093.6
00003358,07,1,Q0,3,1,1,5,6,1,B0,0,6,1,4,1,2,0,0,0,30,6,1645,37,30,0,31,6,0,6,0,1086.81,0,0,1380.43,0,462.61,178.72,2814.57,12,0,1,10,6,0,6,0,6,0,35496.1,686.75,2872.01,0,0,03,37.04,31,365,365,2467.24,2467.24,1825.91,36182.85,33310.84,163.125,15.1248429118774,1,1825.91
00003358,08,1,Q0,3,1,1,5,6,1,B0,0,6,0,11,1,2,0,0,0,30,6,1645,37,30,0,31,6,0,6,0,1086.81,0,0,1202.38,0,399.69,166.25,2618.14,12,0,6,0,6,0,6,0,6,0,29850.09,0,2149.3,0,0,04,37.04,31,365,365,2289.19,2289.19,1723.25,29850.09,27700.79,163.125,14.0333486590038,1,1723.25
